"ANO","MES","codigo","nombreC","nombreV","FuenteC","FuenteV","VALOR","varmensual","varanual"
2008,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",37302,2.19166073091885,26.8257853937168
2008,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",37795,1.3216449520133,26.9907936294604
2008,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",38717,2.43947612118005,29.2980229762223
2008,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",40625,4.92806777384611,28.4300708143652
2008,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",41438,2.00123076923077,35.2856676460986
2008,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",43991,6.16101163183551,44.8072681786761
2008,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",47255,7.41969948398536,49.5080203752333
2008,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",50010,5.8300708919691,54.3280357969449
2009,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",54079,8.13637272545491,54.3791036254639
2009,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",57440,6.2149817859058,58.7485835889782
2009,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",59000,2.71587743732591,65.0488152851988
2009,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",60018,1.72542372881356,64.4238671853597
2009,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",60643,1.04135426038855,62.5730523832502
2009,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",60647,0.00659597975034217,60.4630242095515
2009,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",61152,0.832687519580523,57.9461218586151
2009,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",62913,2.87970957613815,54.8627692307692
2009,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",63199,0.454596029437477,52.5146001254887
2009,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",64054,1.35286950742891,45.607055988725
2009,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",65035,1.53152027976395,37.6256480795683
2009,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",65721,1.05481663719536,31.4157168566287
2010,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",67956,3.40073948966084,25.6606076295789
2010,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",69845,2.77973983165578,21.5964484679666
2010,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",70857,1.44892261436037,20.0966101694915
2010,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",71433,0.81290486472755,19.0192942117365
2010,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",70938,-0.692957036663727,16.9764028824431
2010,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",69689,-1.76069243564803,14.9092288159348
2010,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",69151,-0.772001320150956,13.0805206698064
2010,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",70267,1.61385952480803,11.6891580436476
2010,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",70199,-0.0967737344699503,11.076124622225
2010,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",70302,0.146725736833858,9.75426983482686
2010,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",70328,0.0369833006173366,8.13869454908895
2010,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",69795,-0.757877374587646,6.19893184826768
2011,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",71157,1.95142918547174,4.71040084760727
2011,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",72980,2.56194049777253,4.4885102727468
2011,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",73864,1.21129076459304,4.24375855596483
2011,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",74139,0.372305859417307,3.78816513376171
2011,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",73952,-0.252228921350436,4.2487806253348
2011,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",73495,-0.617968411942882,5.46140710872591
2011,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",73595,0.136063677801211,6.42651588552588
2011,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",74602,1.36829947686664,6.16932557245933
2011,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",74735,0.178279402696979,6.46163050755709
2011,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",75105,0.495082625275975,6.83195357173338
2011,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",75491,0.513947140669729,7.3413149812308
2011,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",75324,-0.221218423388218,7.9217709004943
2012,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",77736,3.2021666401147,9.24575235043636
2012,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",79189,1.86914685602552,8.50781035900247
2012,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",80390,1.51662478374522,8.8351565038449
2012,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81372,1.22154496827964,9.75599886699308
2012,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81295,-0.0946271444723001,9.92941367373431
2012,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",80860,-0.535088258810505,10.0210898700592
2012,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82115,1.55206529804601,11.5768734289014
2012,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",83032,1.11672654204469,11.2999651483874
2012,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82924,-0.130070334328933,10.9573827523918
2012,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82195,-0.879118228739569,9.44011716929632
2012,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81685,-0.62047569803516,8.20495158363249
2012,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81015,-0.820224031339903,7.55536084116616
2013,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82749,2.14034438067025,6.44874961407842
2013,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",83305,0.671911443038587,5.19769159858061
2013,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82746,-0.671028149570854,2.9307127752208
2013,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82948,0.244120561718995,1.93678415179669
2013,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81705,-1.49852919901625,0.504336060028292
