Distrito;Sección;Total;Menos de 16 años;De 16 a 64 años;65 años y más
8;23;998;129;650;219
8;24;1461;160;1071;230
8;25;925;121;620;184
8;26;1457;161;829;467
8;27;1507;249;966;292
8;28;764;86;471;207
8;29;1319;212;859;248
8;30;1899;280;1319;300
8;31;1744;257;1192;295
8;32;1893;272;1293;328
8;33;1649;162;1032;455
8;34;1625;212;1138;275
8;35;2227;404;1518;305
8;36;1230;136;688;406
8;37;1425;139;914;372
8;38;1473;139;1055;279
8;39;1063;131;678;254
8;40;991;116;631;244
8;41;1258;157;767;334
8;42;2432;491;1683;258
9;1;1288;148;836;304
9;2;1050;109;597;344
9;3;1126;126;728;272
9;4;1015;130;652;233
9;5;2080;274;1478;328
9;7;1666;230;1087;349
9;8;960;119;631;210
9;9;1748;254;1212;282
9;10;1674;243;1059;372
9;12;1203;184;788;231
9;13;1844;256;1194;394
9;15;1205;209;847;149
9;16;1414;184;889;341
9;17;930;145;585;200
9;18;1765;300;1192;273
9;19;1313;191;822;300
9;20;1741;200;1232;309
9;21;1966;244;1387;335
9;22;1238;144;737;357
9;23;1249;151;716;382
9;24;984;110;654;220
9;25;1447;209;988;250
9;26;1693;246;1127;320
9;28;1883;180;1304;399
9;29;1135;121;805;209
9;30;1892;245;1255;392
9;31;1953;323;1363;267
9;32;1003;145;678;180
9;33;791;103;504;184
9;34;767;98;503;166
9;35;1055;112;604;339
9;36;768;66;505;197
9;37;925;112;578;235
9;38;2188;520;1432;236
9;39;1653;223;1158;272
9;40;915;94;478;343
9;41;1683;215;1152;316
9;42;1413;157;998;258
10;1;1961;293;1156;512
10;2;1557;227;988;342
10;3;1987;296;1355;336
10;4;1288;179;831;278
10;5;1407;171;781;455
10;6;1334;184;898;252
10;7;2106;289;1416;401
10;8;1731;219;1075;437
10;9;1079;122;704;253
10;10;1153;166;698;289
10;11;939;95;549;295
10;12;861;98;532;231
10;13;1724;268;1231;225
10;14;1132;131;753;248
10;15;977;131;634;212
10;16;1363;178;863;322
10;17;1211;169;781;261
10;18;1639;269;1061;309
10;19;1432;174;937;321
10;21;1738;243;1191;304
10;22;2134;310;1391;433
10;23;1250;144;784;322
10;24;2218;320;1383;515
